company_id,inn,okved2,okopf_id,period,scale,revenue_t,revenue_t_1,net_profit_t,net_profit_t_1,inventory_t,inventory_t_1,payables_t,payables_t_1,equity_t,equity_t_1,debt_t,debt_t_1,region,okved_section,margin,debt_ratio,inv_turnover,growth_rev,z_margin,z_debt_ratio,z_inv_turnover,z_growth
8906845,7719893081,82,12300,2022,1000,150166000.0,98202000.0,1327000.0,788000.0,13609000.0,16895000.0,19804000.0,71680000.0,2560000.0,1234000.0,68914000.0,114178000.0,МОСКВА,N,0.0088368871781894,26.91953125,11.034315526489824,0.529154192378974,-0.8420561490748392,99.1454908738247,-0.7285215414110614,1.393891935489837
8906845,7719893081,82,12300,2023,1000,189691000.0,150166000.0,1224000.0,1327000.0,46413000.0,13609000.0,73672000.0,19804000.0,1284000.0,2560000.0,14249000.0,68914000.0,МОСКВА,N,0.0064525992271641,11.097352024922118,4.087023032340078,0.263208715687972,-0.9875317939674704,43.05693034759209,-0.9900445925842181,0.8384357089268188
8906845,7719893081,82,12300,2024,1000,157010000.0,189691000.0,8306000.0,1224000.0,159363000.0,46413000.0,504904000.0,73672000.0,9590000.0,1284000.0,14249000.0,14249000.0,МОСКВА,N,0.0529010891026049,1.4858185610010428,0.985234966711219,-0.1722854537115624,0.3045357342781537,5.053738131825916,-0.9608961456263782,-1.4089847117786651
10493469,275913615,69,12300,2022,1000,1055000.0,620000.0,-493000.0,16000.0,,,72000.0,159000.0,-373000.0,120000.0,429000.0,1000.0,БАШКОРТОСТАН,M,-0.4672985781990521,-1.1501340482573728,,0.7016129032258065,-5.360679664292021,-10.542819765688098,,1.9777935431319789
10493469,275913615,69,12300,2023,1000,1727000.0,1055000.0,198000.0,-493000.0,,,74000.0,72000.0,-175000.0,-373000.0,316000.0,429000.0,БАШКОРТОСТАН,M,0.1146496815286624,-1.8057142857142856,,0.6369668246445498,0.6853909022185218,-16.445603959724988,,1.4969841897755234
10493469,275913615,69,12300,2024,1000,3957000.0,1727000.0,706000.0,198000.0,,,97000.0,74000.0,561000.0,-175000.0,0.0,316000.0,БАШКОРТОСТАН,M,0.1784179934293656,0.0,,1.2912565141864505,1.3556113017143676,-0.02011153872383385,,3.9791471331632287
9183463,1841050594,45,12300,2022,1000,56848000.0,53603000.0,906000.0,823000.0,13075000.0,14112000.0,20733000.0,21106000.0,3502000.0,2595000.0,1990000.0,2000.0,УДМУРТСКАЯ,G,0.0159372361384745,0.568246716162193,4.347839388145316,0.060537656474451,-0.3949054110598451,2.224194829265435,-0.4451100859057,-0.019075818372691376
9183463,1841050594,45,12300,2023,1000,55949000.0,56848000.0,1187000.0,906000.0,10241000.0,13075000.0,25103000.0,20733000.0,4689000.0,3502000.0,4675000.0,1990000.0,УДМУРТСКАЯ,G,0.0212157500580886,0.9970142887609298,5.463236012108193,-0.0158141007599211,-0.24136660559184003,4.320649158133601,-0.2874171628883705,-0.3000427258950979
9183463,1841050594,45,12300,2024,1000,56468000.0,55949000.0,1299000.0,1187000.0,7211000.0,10241000.0,11646000.0,25103000.0,5988000.0,4689000.0,12400000.0,4675000.0,УДМУРТСКАЯ,G,0.0230041793582205,2.070808283233133,7.830814034114547,0.0092763052065273,-0.15946971251354447,11.702668187856812,0.26578787619813515,-0.24038282864845997
9949333,6454108260,43,65000,2022,1000,6991000.0,1484000.0,131000.0,11000.0,2288000.0,1149000.0,3762000.0,1611000.0,219000.0,238000.0,48000.0,408000.0,САРАТОВСКАЯ,F,0.0187383779144614,0.2191780821917808,3.055506993006993,3.710916442048517,-0.4866663504547202,0.9010965912457056,-0.820550922292619,6.501921481006416
9949333,6454108260,43,12300,2023,1000,25576000.0,6991000.0,119000.0,131000.0,2946000.0,2287000.0,4565000.0,3762000.0,154000.0,219000.0,42000.0,48000.0,САРАТОВСКАЯ,F,0.0046527994995308,0.2727272727272727,8.681602172437202,2.6584179659562293,-0.6780958824900126,1.3319751611673354,0.014938942059480192,5.3540163752752905
